,Date,ReportPeriod,Ticker,Fund,Change
270,2022-10-03,2022-06-30,PPL,"ICA Group Wealth Management, LLC",2197.5299320221
271,2022-10-03,2022-06-30,PNQI,"ICA Group Wealth Management, LLC",0.0
272,2022-10-03,2022-06-30,PM,"ICA Group Wealth Management, LLC",5331.9598846436
273,2022-10-03,2022-06-30,PINS,"ICA Group Wealth Management, LLC",-1906.7999839783
274,2022-10-03,2022-06-30,PH,"ICA Group Wealth Management, LLC",3936.8000488281
275,2022-10-03,2022-06-30,PG,"ICA Group Wealth Management, LLC",26143.8464355469
276,2022-10-03,2022-06-30,PFF,"ICA Group Wealth Management, LLC",-14438.4955482483
277,2022-10-03,2022-06-30,PFE,"ICA Group Wealth Management, LLC",-90473.7397651672
278,2022-10-03,2022-06-30,PEP,"ICA Group Wealth Management, LLC",30832.1006774902
279,2022-10-03,2022-06-30,NAD,"ICA Group Wealth Management, LLC",-3709.9817276001
280,2022-10-03,2022-06-30,IYG,"ICA Group Wealth Management, LLC",16452.420135498
281,2022-10-03,2022-06-30,MU,"ICA Group Wealth Management, LLC",3641.3502960205
282,2022-10-03,2022-06-30,LQD,"ICA Group Wealth Management, LLC",275642.293289185
283,2022-10-03,2022-06-30,LPLA,"ICA Group Wealth Management, LLC",87899.6306304932
284,2022-10-03,2022-06-30,LOW,"ICA Group Wealth Management, LLC",9378.8736877441
285,2022-10-03,2022-06-30,LNT,"ICA Group Wealth Management, LLC",282651.710250854
286,2022-10-03,2022-06-30,LNG,"ICA Group Wealth Management, LLC",530.9235839844
287,2022-10-03,2022-06-30,LMT,"ICA Group Wealth Management, LLC",-31817.0393676758
288,2022-10-03,2022-06-30,LMBS,"ICA Group Wealth Management, LLC",-67414.2388458252
289,2022-10-03,2022-06-30,LLY,"ICA Group Wealth Management, LLC",3231.7495727539
290,2022-10-03,2022-06-30,LIN,"ICA Group Wealth Management, LLC",-4888.009979248
291,2022-10-03,2022-06-30,LRCX,"ICA Group Wealth Management, LLC",6392.2499084473
292,2022-10-03,2022-06-30,KR,"ICA Group Wealth Management, LLC",4142.0924987793
293,2022-10-03,2022-06-30,KMI,"ICA Group Wealth Management, LLC",-2673.2796363831
294,2022-10-03,2022-06-30,KMB,"ICA Group Wealth Management, LLC",2973.2998657227
295,2022-10-03,2022-06-30,K,"ICA Group Wealth Management, LLC",0.0
296,2022-10-03,2022-06-30,JPM,"ICA Group Wealth Management, LLC",26454.5626602173
297,2022-10-03,2022-06-30,JNJ,"ICA Group Wealth Management, LLC",-42069.8686981201
298,2022-10-03,2022-06-30,JEPI,"ICA Group Wealth Management, LLC",196781.275852203
299,2022-10-03,2022-06-30,JCPB,"ICA Group Wealth Management, LLC",396240.641098022
300,2022-10-03,2022-06-30,J,"ICA Group Wealth Management, LLC",-15229.1363525391
301,2022-10-03,2022-06-30,KO,"ICA Group Wealth Management, LLC",18180.9899559021
302,2022-10-03,2022-06-30,MA,"ICA Group Wealth Management, LLC",59219.4721679688
303,2022-10-03,2022-06-30,MBB,"ICA Group Wealth Management, LLC",-23707.4392700195
304,2022-10-03,2022-06-30,MCD,"ICA Group Wealth Management, LLC",-15800.3203125
305,2022-10-03,2022-06-30,MTD,"ICA Group Wealth Management, LLC",5743.8500976562
306,2022-10-03,2022-06-30,MSFT,"ICA Group Wealth Management, LLC",-209830.099029541
307,2022-10-03,2022-06-30,MSCI,"ICA Group Wealth Management, LLC",822.2880249023
308,2022-10-03,2022-06-30,MS,"ICA Group Wealth Management, LLC",452.0734863281
309,2022-10-03,2022-06-30,MRVL,"ICA Group Wealth Management, LLC",-8694.0788269043
