,Ticker,Followers,pct_change_day,pct_change_week,pct_change_month,Date
1329,NCMI,1461,0.0,0.0,0.1370801919,2022-10-08T00:00:00.000Z
1330,RBBN,1455,0.0687757909,0.3448275862,1.1118832523,2022-10-08T00:00:00.000Z
1331,GTIM,1454,0.0,0.0,0.6228373702,2022-10-08T00:00:00.000Z
1332,JBGS,1443,0.0693481276,0.0693481276,0.0693481276,2022-10-08T00:00:00.000Z
1333,PRMW,1442,0.0693962526,-0.1385041551,0.8391608392,2022-10-08T00:00:00.000Z
1334,CYTK,1438,0.0,0.2090592334,0.700280112,2022-10-08T00:00:00.000Z
1335,EXPO,1437,0.0,0.0,0.0,2022-10-08T00:00:00.000Z
1336,CW,1435,0.0,0.069735007,0.3496503497,2022-10-08T00:00:00.000Z
1337,MRCC,1435,0.0,0.0,0.069735007,2022-10-08T00:00:00.000Z
1338,VKTX,1434,0.0697836706,0.0,-0.2087682672,2022-10-08T00:00:00.000Z
1339,BGCP,1430,0.1400560224,0.350877193,0.5625879044,2022-10-08T00:00:00.000Z
1340,BKYI,1426,0.4933051445,0.4225352113,0.5641748942,2022-10-08T00:00:00.000Z
1341,GNSS,1412,-0.0707714084,-0.0707714084,-0.0707714084,2022-10-08T00:00:00.000Z
1342,GRC,1405,0.0,0.0,0.2139800285,2022-10-08T00:00:00.000Z
1343,LHCG,1405,0.0,0.0,0.0712250712,2022-10-08T00:00:00.000Z
1344,RC,1404,0.0,0.1426533524,0.0712758375,2022-10-08T00:00:00.000Z
1345,ICFI,1402,-0.0712758375,-0.0712758375,0.0,2022-10-08T00:00:00.000Z
1346,NBN,1394,0.0,0.0,-0.1432664756,2022-10-08T00:00:00.000Z
1347,LTHM,1392,0.0718907261,0.5054151625,2.2026431718,2022-10-08T00:00:00.000Z
1348,NKTR,1386,0.0,0.1445086705,-0.0720980534,2022-10-08T00:00:00.000Z
1349,ERF,1378,0.0726216412,0.1453488372,0.0,2022-10-08T00:00:00.000Z
1350,ESPR,1372,0.0,-0.1455604076,-0.2906976744,2022-10-08T00:00:00.000Z
1351,OHI,1366,-0.1461988304,-0.1461988304,0.146627566,2022-10-08T00:00:00.000Z
1352,MTRN,1363,0.0,0.5162241888,0.5162241888,2022-10-08T00:00:00.000Z
1353,FLGT,1363,0.0,0.0,0.7390983001,2022-10-08T00:00:00.000Z
1354,POAI,1339,0.0747384155,0.0747384155,0.7524454477,2022-10-08T00:00:00.000Z
1355,AGS,1337,0.0,0.0748502994,0.6777108434,2022-10-08T00:00:00.000Z
1356,RETA,1329,0.1507159005,0.2262443439,0.6818181818,2022-10-08T00:00:00.000Z
1357,FHB,1326,-0.0753579503,-0.3007518797,-0.0753579503,2022-10-08T00:00:00.000Z
1358,BRID,1325,0.0,-0.0754147813,0.0755287009,2022-10-08T00:00:00.000Z
1359,BFS,1321,0.0,0.0,-0.0756429652,2022-10-08T00:00:00.000Z
1360,SLDB,1318,0.0,0.6106870229,0.7645259939,2022-10-08T00:00:00.000Z
1361,EGLE,1314,0.1524390244,0.3053435115,0.6125574273,2022-10-08T00:00:00.000Z
1362,PSHG,1307,0.153256705,0.2300613497,1.3178294574,2022-10-08T00:00:00.000Z
1363,CLRO,1304,0.0,0.0,-0.1531393568,2022-10-08T00:00:00.000Z
1364,WKSP,1304,-0.0766283525,-0.3819709702,-0.3819709702,2022-10-08T00:00:00.000Z
1365,FFA,1303,0.0,0.0768049155,0.0768049155,2022-10-08T00:00:00.000Z
1366,DTIL,1296,0.0,0.3095975232,1.0132501949,2022-10-08T00:00:00.000Z
1367,INGN,1295,0.0,0.0,0.0772797527,2022-10-08T00:00:00.000Z
1368,GTHX,1294,0.0773395205,0.0773395205,0.1547987616,2022-10-08T00:00:00.000Z
1369,XP,1293,0.0773993808,0.0773993808,-0.1544401544,2022-10-08T00:00:00.000Z
1370,LAD,1290,0.0,0.2331002331,1.0180109632,2022-10-08T00:00:00.000Z
1371,CYRX,1288,-0.1550387597,-0.077579519,0.0777000777,2022-10-08T00:00:00.000Z
1372,AYTU,1281,0.0,-0.0780031201,-0.3888024883,2022-10-08T00:00:00.000Z
1373,FSS,1279,0.0,0.1566170713,0.6294256491,2022-10-08T00:00:00.000Z
1374,UROY,1275,-0.1566170713,0.0,0.9501187648,2022-10-08T00:00:00.000Z
1375,MODN,1274,0.0,0.1572327044,0.0,2022-10-08T00:00:00.000Z
1376,INMD,1273,0.0786163522,0.0,0.1573564123,2022-10-08T00:00:00.000Z
1377,QTRX,1273,0.2362204724,0.1573564123,0.1573564123,2022-10-08T00:00:00.000Z
1378,WTTR,1264,0.0,0.0,0.0791765637,2022-10-08T00:00:00.000Z
1379,VICR,1258,0.0,0.0,0.8012820513,2022-10-08T00:00:00.000Z
1380,MBWM,1256,0.0796812749,0.2394253791,0.8025682183,2022-10-08T00:00:00.000Z
1381,SBFM,1248,0.0,-0.16,-0.16,2022-10-08T00:00:00.000Z
1382,OPRT,1243,-0.0803858521,-0.0803858521,-0.0803858521,2022-10-08T00:00:00.000Z
1383,GNTX,1242,0.1612903226,0.1612903226,1.2224938875,2022-10-08T00:00:00.000Z
1384,MATX,1240,0.0,0.0807102502,-0.481540931,2022-10-08T00:00:00.000Z
1385,ZYME,1239,0.0,-0.0806451613,-0.3218020917,2022-10-08T00:00:00.000Z
1386,DARE,1236,0.0809716599,0.1620745543,-0.1615508885,2022-10-08T00:00:00.000Z
1387,EYPT,1231,0.0,0.0,0.4897959184,2022-10-08T00:00:00.000Z
1388,JOAN,1227,0.3270645953,0.4091653028,1.3212221305,2022-10-08T00:00:00.000Z
