,Date,Ticker,Mentions,Rank,Sentiment
455,2019-12-18,MSFT,4,39,0.07225
456,2019-12-19,MSFT,15,10,0.0304133333
457,2019-12-20,MSFT,10,13,0.15314
458,2019-12-21,MSFT,6,6,0.2557833333
459,2019-12-22,MSFT,1,38,0.0516
460,2019-12-23,MSFT,7,13,0.2147714286
461,2019-12-24,MSFT,9,9,0.0778666667
462,2019-12-26,MSFT,11,13,0.0384272727
463,2019-12-27,MSFT,20,11,0.085865
464,2019-12-28,MSFT,7,5,-0.2010142857
465,2019-12-29,MSFT,2,13,-0.10965
466,2019-12-30,MSFT,16,11,-0.14316875
467,2019-12-31,MSFT,20,9,-0.18788
468,2020-01-02,MSFT,37,7,0.0582027027
469,2020-01-03,MSFT,37,8,-0.0094675676
470,2020-01-04,MSFT,7,8,0.2992857143
471,2020-01-05,MSFT,3,18,0.1871333333
472,2020-01-06,MSFT,16,16,-0.070725
473,2020-01-07,MSFT,41,7,-0.0905268293
474,2020-01-08,MSFT,43,8,-0.1110186047
475,2020-01-09,MSFT,37,8,0.0650702703
476,2020-01-10,MSFT,14,17,0.1532714286
477,2020-01-11,MSFT,1,103,0.1531
478,2020-01-12,MSFT,4,14,-0.27115
479,2020-01-13,MSFT,21,16,-0.0412142857
480,2020-01-14,MSFT,21,14,0.1683952381
481,2020-01-15,MSFT,17,22,0.1237176471
482,2020-01-16,MSFT,54,7,0.1470981481
483,2020-01-17,MSFT,115,5,0.0736843478
484,2020-01-18,MSFT,14,6,0.2624714286
485,2020-01-19,MSFT,5,7,0.35962
486,2020-01-20,MSFT,10,4,0.2215
487,2020-01-21,MSFT,52,9,-0.0003365385
488,2020-01-22,MSFT,132,5,-0.063005303
489,2020-01-23,MSFT,65,6,0.0483784615
490,2020-01-24,MSFT,124,6,0.0073548387
491,2020-01-25,MSFT,16,7,-0.09411875
492,2020-01-26,MSFT,10,5,-0.08201
493,2020-01-27,MSFT,111,4,-0.0478171171
494,2020-01-28,MSFT,106,5,0.0861924528
495,2020-01-29,MSFT,316,1,0.0920009494
496,2020-01-30,MSFT,186,3,0.1121043011
497,2020-01-31,MSFT,78,12,-0.0108576923
498,2020-02-01,MSFT,13,11,0.1012769231
499,2020-02-02,MSFT,3,30,0.0421666667
500,2020-02-03,MSFT,52,9,0.1121903846
501,2020-02-04,MSFT,253,4,0.1564513834
502,2020-02-05,MSFT,904,2,0.0567966814
503,2020-02-06,MSFT,343,2,0.0964696793
504,2020-02-07,MSFT,546,1,0.0562304029
505,2020-02-08,MSFT,86,2,0.1134348837
506,2020-02-09,MSFT,58,1,0.0919931034
