,Date,Ticker,Views,pct_change_week,pct_change_month
272,2022-01-03,MSFT,35.0,-33.9622641509,45.8333333333
273,2022-01-10,MSFT,58.0,65.7142857143,81.25
274,2022-01-17,MSFT,42.0,-27.5862068966,-27.5862068966
275,2022-01-24,MSFT,66.0,57.1428571429,24.5283018868
276,2022-01-31,MSFT,66.0,0.0,88.5714285714
277,2022-02-07,MSFT,42.0,-36.3636363636,-27.5862068966
278,2022-02-14,MSFT,61.0,45.2380952381,45.2380952381
279,2022-02-21,MSFT,37.0,-39.3442622951,-43.9393939394
280,2022-02-28,MSFT,43.0,16.2162162162,-34.8484848485
281,2022-03-07,MSFT,61.0,41.8604651163,45.2380952381
282,2022-03-14,MSFT,42.0,-31.1475409836,-31.1475409836
283,2022-03-21,MSFT,50.0,19.0476190476,35.1351351351
284,2022-03-28,MSFT,48.0,-4.0,11.6279069767
285,2022-04-04,MSFT,43.0,-10.4166666667,-29.5081967213
286,2022-04-11,MSFT,163.0,279.0697674419,288.0952380952
287,2022-04-18,MSFT,85.0,-47.8527607362,70.0
288,2022-04-25,MSFT,111.0,30.5882352941,131.25
289,2022-05-02,MSFT,43.0,-61.2612612613,0.0
290,2022-05-09,MSFT,50.0,16.2790697674,-69.3251533742
291,2022-05-16,MSFT,42.0,-16.0,-50.5882352941
292,2022-05-23,MSFT,38.0,-9.5238095238,-65.7657657658
293,2022-05-30,MSFT,53.0,39.4736842105,23.2558139535
294,2022-06-06,MSFT,53.0,0.0,6.0
295,2022-06-13,MSFT,50.0,-5.6603773585,19.0476190476
296,2022-06-20,MSFT,49.0,-2.0,28.9473684211
297,2022-06-27,MSFT,48.0,-2.0408163265,-9.4339622642
298,2022-07-04,MSFT,50.0,4.1666666667,-5.6603773585
299,2022-07-11,MSFT,17.0,-66.0,-66.0
300,2022-07-18,MSFT,38.0,123.5294117647,-22.4489795918
301,2022-07-25,MSFT,32.0,-15.7894736842,-33.3333333333
302,2022-08-01,MSFT,30.0,-6.25,-40.0
303,2022-08-08,MSFT,28.0,-6.6666666667,64.7058823529
304,2022-08-15,MSFT,28.0,0.0,-26.3157894737
305,2022-08-22,MSFT,43.0,53.5714285714,34.375
306,2022-08-29,MSFT,30.0,-30.2325581395,0.0
307,2022-09-05,MSFT,48.0,60.0,71.4285714286
308,2022-09-12,MSFT,32.0,-33.3333333333,14.2857142857
309,2022-09-19,MSFT,24.0,-25.0,-44.1860465116
310,2022-09-26,MSFT,18.0,-25.0,-40.0
311,2022-10-03,MSFT,31.0,72.2222222222,-35.4166666667
312,2022-10-10,MSFT,25.0,-19.3548387097,-21.875
