,Date,Ticker,OTC_Short,OTC_Total,DPI
700,2019-11-01,MSFT,1940760,7363671,0.2635587603
701,2019-10-31,MSFT,1858217,5884847,0.3157630096
702,2019-10-30,MSFT,1439129,5539132,0.2598112845
703,2019-10-29,MSFT,2234056,6240459,0.3579954616
704,2019-10-28,MSFT,4874704,13366116,0.3647060971
705,2019-10-25,MSFT,1667112,7271803,0.2292570357
706,2019-10-24,MSFT,4670745,14928388,0.3128767152
707,2019-10-23,MSFT,3206289,10482424,0.3058728592
708,2019-10-22,MSFT,2583788,8697840,0.2970608795
709,2019-10-21,MSFT,1813530,6075003,0.2985233094
710,2019-10-18,MSFT,2516738,8959460,0.2809028669
711,2019-10-17,MSFT,1911718,6558345,0.2914939668
712,2019-10-16,MSFT,2640880,5617047,0.4701545136
713,2019-10-15,MSFT,2631470,5196409,0.5064016324
714,2019-10-14,MSFT,1613776,3460250,0.4663755509
715,2019-10-11,MSFT,2948422,6354925,0.4639585833
716,2019-10-10,MSFT,2463773,4652375,0.529573175
717,2019-10-09,MSFT,1610437,5193518,0.3100859571
718,2019-10-08,MSFT,2443561,6442340,0.3792971187
719,2019-10-07,MSFT,1289252,3014393,0.4276987108
720,2019-10-04,MSFT,2390096,6265531,0.3814674287
721,2019-10-03,MSFT,2503901,6089054,0.411213466
722,2019-10-02,MSFT,3259068,8223075,0.3963320291
723,2019-10-01,MSFT,1512981,4835985,0.3128589109
724,2019-09-30,MSFT,1096110,3924588,0.2792930111
725,2019-09-27,MSFT,1840482,3858252,0.4770248289
726,2019-09-26,MSFT,1909782,3787510,0.50423154
727,2019-09-25,MSFT,1853354,5474177,0.3385630388
728,2019-09-24,MSFT,1881109,6960260,0.2702641855
729,2019-09-23,MSFT,1290333,4063330,0.3175555517
730,2019-09-20,MSFT,3565849,7275823,0.4900956222
731,2019-09-19,MSFT,6321266,12570172,0.5028782422
732,2019-09-18,MSFT,2630518,5335030,0.4930652686
733,2019-09-17,MSFT,1731726,4163500,0.4159303471
734,2019-09-16,MSFT,1346464,3409067,0.3949655434
735,2019-09-13,MSFT,1881814,4281843,0.4394869219
736,2019-09-12,MSFT,2770869,6655396,0.4163342046
737,2019-09-11,MSFT,2121969,5999443,0.3536943346
738,2019-09-10,MSFT,3106116,7318273,0.4244329229
739,2019-09-09,MSFT,2912501,6451908,0.4514170072
740,2019-09-06,MSFT,2581328,4909728,0.5257578424
741,2019-09-05,MSFT,2598936,6498497,0.3999287835
742,2019-09-04,MSFT,2078690,4917754,0.4226909276
743,2019-09-03,MSFT,1932035,4239053,0.455770428
744,2019-08-30,MSFT,2183221,4841035,0.4509822796
745,2019-08-29,MSFT,1534859,3867794,0.3968305965
746,2019-08-28,MSFT,911111,4525186,0.2013422211
747,2019-08-27,MSFT,1456645,5241271,0.2779182759
748,2019-08-26,MSFT,2189953,5594572,0.3914424553
749,2019-08-23,MSFT,2769913,8278678,0.3345839758
750,2019-08-22,MSFT,1407537,5273708,0.2668970296
751,2019-08-21,MSFT,1249084,4199431,0.2974412486
752,2019-08-20,MSFT,1258266,3530536,0.3563951763
753,2019-08-19,MSFT,2063125,6584823,0.3133151795
754,2019-08-16,MSFT,2301496,6140879,0.3747828283
755,2019-08-15,MSFT,1674349,6454057,0.2594258154
756,2019-08-14,MSFT,2280487,7279899,0.3132580548
757,2019-08-13,MSFT,1705357,5996397,0.284396947
758,2019-08-12,MSFT,1757510,4731983,0.3714108863
759,2019-08-09,MSFT,2694949,5681605,0.4743288208
760,2019-08-08,MSFT,3248674,6233461,0.5211669729
761,2019-08-07,MSFT,3779807,7077084,0.5340910183
762,2019-08-06,MSFT,3399807,7301944,0.4656029956
763,2019-08-05,MSFT,4897086,10783194,0.4541405821
764,2019-08-02,MSFT,3954626,7378361,0.5359762148
